time_seconds,rf_power,lf_power,rb_power,lb_power,battery_voltage
0.102,-0.0,0.0,0.0,0.0,13.184000000000001
0.204,-0.0,0.0,0.0,0.0,13.184000000000001
0.306,-0.0,0.0,0.0,0.0,13.175
0.406,-0.0,0.0,0.0,0.0,13.188
0.507,-0.0,0.0,0.0,0.0,13.184000000000001
0.609,-0.0,0.0,0.0,0.0,13.184000000000001
0.710,-0.0,0.0,0.0,0.0,13.179
0.812,-0.0,0.0,0.0,0.0,13.184000000000001
0.913,-0.0,0.0,0.0,0.0,13.184000000000001
1.015,-0.0,0.0,0.0,0.0,13.184000000000001
1.116,-0.0,0.0,0.0,0.0,13.184000000000001
1.217,-0.0,0.0,0.0,0.0,13.184000000000001
1.318,-0.0,0.0,0.0,0.0,13.184000000000001
1.418,-0.0,0.0,0.0,0.0,13.184000000000001
1.520,-0.0,0.0,0.0,0.0,13.184000000000001
1.621,-0.0,0.0,0.0,0.0,13.184000000000001
1.724,-1.0,1.0,1.0,-1.0,11.864
1.824,-1.0,1.0,1.0,-1.0,12.441
1.925,-1.0,1.0,1.0,-1.0,12.445
2.026,-1.0,1.0,1.0,-1.0,12.559000000000001
2.127,-0.0,0.0,0.0,0.0,13.114
2.228,-0.0,0.0,0.0,0.0,13.144
2.330,0.3595001816749573,-0.261907172203064,-0.261907172203064,0.3595001816749573,12.996
2.432,1.0,-0.5008210140830185,-0.5008210140830185,1.0,12.546
2.532,1.0,-1.0,-1.0,1.0,12.367
2.633,1.0,-1.0,-1.0,1.0,12.511000000000001
2.733,1.0,-1.0,-1.0,1.0,12.533
2.834,0.8875747642873775,-1.0,-1.0,0.8875747642873775,12.668000000000001
2.935,0.5447514587780613,-1.0,-1.0,0.5447514587780613,12.821
3.035,-0.03646433746098623,-1.0,-1.0,-0.03646433746098623,12.856
3.136,0.029648530832029965,-1.0,-1.0,0.029648530832029965,12.874
3.236,-0.0,0.0,0.0,0.0,13.123000000000001
3.338,-0.0,0.0,0.0,0.0,13.136000000000001
3.439,-0.0,0.0,0.0,0.0,13.136000000000001
3.540,-0.0,0.0,0.0,0.0,13.14
3.644,-1.0,1.0,1.0,-1.0,12.231
3.744,-0.8609812202372853,1.0,1.0,-0.8609812202372853,12.524000000000001
3.845,-0.8350769023805603,1.0,1.0,-0.8350769023805603,12.528
3.946,-0.8223933097034382,1.0,1.0,-0.8223933097034382,12.589
4.047,-0.8223933097034382,1.0,1.0,-0.8223933097034382,12.646
4.149,-0.9723495634938297,1.0,1.0,-0.9723495634938297,12.471
